epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,66.3246,0.7982,1.89957,1.36296,0.78222,0.39424,0.42101,0.31537,1.75337,2.35017,1.4955,3.00476e-05,3.00476e-05,3.00476e-05
53,67.4893,0.96938,0.95558,1.36938,0.78222,0.39424,0.42101,0.31537,1.75337,2.35017,1.4955,3.00242e-05,3.00242e-05,3.00242e-05
54,68.7271,0.66111,0.84831,1.09466,0.95132,0.39567,0.42173,0.31606,1.74088,2.31345,1.47463,2.99772e-05,2.99772e-05,2.99772e-05
55,69.8608,0.63412,0.70986,1.09153,0.95132,0.39567,0.42173,0.31606,1.74088,2.31345,1.47463,2.99066e-05,2.99066e-05,2.99066e-05
56,71.0911,0.82666,0.96261,1.29211,0.95132,0.39567,0.42173,0.31606,1.74088,2.31345,1.47463,2.98125e-05,2.98125e-05,2.98125e-05
57,72.3969,0.70382,0.74077,1.12571,0.95274,0.39532,0.42212,0.29963,1.75264,2.3274,1.48156,2.96948e-05,2.96948e-05,2.96948e-05
58,73.6691,0.68451,0.90124,1.09308,0.95274,0.39532,0.42212,0.29963,1.75264,2.3274,1.48156,2.95535e-05,2.95535e-05,2.95535e-05
59,74.8696,0.6731,0.79112,1.07587,0.95274,0.39532,0.42212,0.29963,1.75264,2.3274,1.48156,2.93887e-05,2.93887e-05,2.93887e-05
60,76.0735,0.57334,0.92249,0.96253,0.95499,0.39391,0.42374,0.2919,1.77249,2.33633,1.49056,2.92003e-05,2.92003e-05,2.92003e-05
61,77.3284,0.67193,0.89811,1.15937,0.95499,0.39391,0.42374,0.2919,1.77249,2.33633,1.49056,2.89884e-05,2.89884e-05,2.89884e-05
62,78.5482,0.86552,0.89089,1.23113,0.95499,0.39391,0.42374,0.2919,1.77249,2.33633,1.49056,2.87529e-05,2.87529e-05,2.87529e-05
63,79.8637,0.82686,0.91997,1.25139,0.9593,0.3919,0.42313,0.2999,1.77477,2.33603,1.48886,2.84938e-05,2.84938e-05,2.84938e-05
64,81.0414,0.65344,1.11299,1.12461,0.9593,0.3919,0.42313,0.2999,1.77477,2.33603,1.48886,2.82112e-05,2.82112e-05,2.82112e-05
65,82.3475,0.52582,0.64381,1.07468,0.9593,0.3919,0.42313,0.2999,1.77477,2.33603,1.48886,2.7905e-05,2.7905e-05,2.7905e-05
66,83.5572,0.79733,1.14119,1.10645,0.96459,0.39323,0.4244,0.30169,1.77291,2.35295,1.48213,2.75753e-05,2.75753e-05,2.75753e-05
67,84.8101,0.77003,1.03331,1.21706,0.96459,0.39323,0.4244,0.30169,1.77291,2.35295,1.48213,2.7222e-05,2.7222e-05,2.7222e-05
68,86.0642,0.98143,1.22895,1.38248,0.96459,0.39323,0.4244,0.30169,1.77291,2.35295,1.48213,2.68451e-05,2.68451e-05,2.68451e-05
69,87.3772,0.60752,0.60309,1.00079,0.80591,0.39683,0.42461,0.30174,1.77152,2.35242,1.48984,2.64447e-05,2.64447e-05,2.64447e-05
70,88.5387,1.07468,1.12613,1.40979,0.80591,0.39683,0.42461,0.30174,1.77152,2.35242,1.48984,2.60207e-05,2.60207e-05,2.60207e-05
71,89.7337,0.76195,0.57996,1.13877,0.80591,0.39683,0.42461,0.30174,1.77152,2.35242,1.48984,2.55731e-05,2.55731e-05,2.55731e-05
72,91.0071,0.70706,0.75201,1.0916,0.78725,0.4,0.42401,0.30124,1.7635,2.35661,1.47392,2.5102e-05,2.5102e-05,2.5102e-05
73,92.2866,0.49819,0.65784,0.95006,0.78725,0.4,0.42401,0.30124,1.7635,2.35661,1.47392,2.46073e-05,2.46073e-05,2.46073e-05
74,93.4271,0.7874,0.79346,1.22287,0.78725,0.4,0.42401,0.30124,1.7635,2.35661,1.47392,2.40891e-05,2.40891e-05,2.40891e-05
75,94.6023,0.7864,0.96516,1.32854,0.77305,0.4,0.4249,0.30209,1.74514,2.36272,1.45928,2.35472e-05,2.35472e-05,2.35472e-05
76,95.8829,0.59317,0.71579,1.0795,0.77305,0.4,0.4249,0.30209,1.74514,2.36272,1.45928,2.29819e-05,2.29819e-05,2.29819e-05
77,97.1398,0.71923,0.94177,1.16733,0.77305,0.4,0.4249,0.30209,1.74514,2.36272,1.45928,2.23929e-05,2.23929e-05,2.23929e-05
78,98.3656,0.56249,0.73073,1.04084,0.90352,0.4,0.42618,0.30217,1.76497,2.36038,1.46376,2.17805e-05,2.17805e-05,2.17805e-05
79,99.5914,0.65249,0.93826,1.12315,0.90352,0.4,0.42618,0.30217,1.76497,2.36038,1.46376,2.11444e-05,2.11444e-05,2.11444e-05
80,100.801,0.72279,0.72371,1.23253,0.90352,0.4,0.42618,0.30217,1.76497,2.36038,1.46376,2.04848e-05,2.04848e-05,2.04848e-05
81,102.093,0.56739,0.55855,1.10824,0.88117,0.4,0.4266,0.30064,1.76553,2.36184,1.46444,1.98016e-05,1.98016e-05,1.98016e-05
82,103.295,0.59931,0.63159,1.08862,0.88117,0.4,0.4266,0.30064,1.76553,2.36184,1.46444,1.90949e-05,1.90949e-05,1.90949e-05
83,104.576,0.59223,0.82429,1.0851,0.88117,0.4,0.4266,0.30064,1.76553,2.36184,1.46444,1.83646e-05,1.83646e-05,1.83646e-05
84,105.852,0.70833,0.6841,1.02655,0.87062,0.4,0.4278,0.30121,1.76797,2.366,1.46243,1.76107e-05,1.76107e-05,1.76107e-05
85,107.13,0.63731,0.6208,1.09846,0.87062,0.4,0.4278,0.30121,1.76797,2.366,1.46243,1.68333e-05,1.68333e-05,1.68333e-05
86,108.424,0.88306,0.9409,1.37189,0.87062,0.4,0.4278,0.30121,1.76797,2.366,1.46243,1.60323e-05,1.60323e-05,1.60323e-05
87,109.712,0.48884,0.72798,1.03169,0.87062,0.4,0.4278,0.30121,1.76797,2.366,1.46243,1.52077e-05,1.52077e-05,1.52077e-05
88,111.122,0.79586,1.06744,1.20938,0.86231,0.4,0.42882,0.30328,1.77138,2.36742,1.46316,1.43596e-05,1.43596e-05,1.43596e-05
89,112.372,0.55828,0.57608,1.06397,0.86231,0.4,0.42882,0.30328,1.77138,2.36742,1.46316,1.34879e-05,1.34879e-05,1.34879e-05
90,113.661,0.49393,0.48137,0.97508,0.86231,0.4,0.42882,0.30328,1.77138,2.36742,1.46316,1.25927e-05,1.25927e-05,1.25927e-05
91,114.903,0.54437,0.47274,1.00186,0.86231,0.4,0.42882,0.30328,1.77138,2.36742,1.46316,1.16739e-05,1.16739e-05,1.16739e-05
92,116.323,0.61078,0.54344,0.93163,0.86777,0.4,0.42854,0.30392,1.75521,2.38173,1.44079,1.07315e-05,1.07315e-05,1.07315e-05
93,117.682,0.54929,0.58305,1.07169,0.86777,0.4,0.42854,0.30392,1.75521,2.38173,1.44079,9.76562e-06,9.76562e-06,9.76562e-06
94,118.904,0.47247,0.538,0.92874,0.86777,0.4,0.42854,0.30392,1.75521,2.38173,1.44079,8.77613e-06,8.77613e-06,8.77613e-06
95,120.131,0.4889,0.54276,0.95388,0.86777,0.4,0.42854,0.30392,1.75521,2.38173,1.44079,7.76308e-06,7.76308e-06,7.76308e-06
96,121.404,0.48492,0.50015,0.92469,0.90667,0.4,0.4272,0.30642,1.74419,2.39842,1.43269,6.72648e-06,6.72648e-06,6.72648e-06
97,122.628,0.64661,0.62577,1.02121,0.90667,0.4,0.4272,0.30642,1.74419,2.39842,1.43269,5.6663e-06,5.6663e-06,5.6663e-06
98,123.81,0.5675,0.52045,0.94519,0.90667,0.4,0.4272,0.30642,1.74419,2.39842,1.43269,4.58257e-06,4.58257e-06,4.58257e-06
99,124.994,0.54078,0.50286,1.00937,0.90667,0.4,0.4272,0.30642,1.74419,2.39842,1.43269,3.47528e-06,3.47528e-06,3.47528e-06
100,126.223,0.42443,0.50744,0.96876,0.95849,0.39643,0.42655,0.30686,1.72059,2.48128,1.43041,2.34442e-06,2.34442e-06,2.34442e-06
